t_epoch,ns,ew,total
1772031658.2049942,10,8,18
1772031659.6789947,8,6,14
1772031660.70104,12,6,18
1772031661.7701478,6,4,10
1772031662.8128188,7,4,11
1772031663.846759,6,3,9
1772031664.9070976,7,3,10
1772031665.9468095,9,3,12
1772031667.014927,10,2,12
1772031668.1001377,7,3,10
1772031669.1324205,10,3,13
1772031670.177444,12,3,15
1772031671.2248476,12,6,18
1772031672.2647502,8,6,14
1772031673.3098834,8,5,13
1772031674.360158,10,4,14
1772031675.4294355,7,5,12
1772031676.4881802,7,4,11
1772031677.5125957,7,4,11
1772031678.6046977,7,4,11
1772031679.6449707,7,6,13
1772031680.679467,7,5,12
1772031681.775674,6,4,10
1772031682.8627229,6,4,10
1772031683.9005988,9,4,13
1772031684.9255338,10,3,13
1772031685.9427016,8,2,10
1772031686.9540176,8,2,10
1772031687.9881275,8,3,11
1772031689.0770345,7,3,10
1772031690.142628,5,4,9
1772031691.2126834,9,6,15
1772031692.2607894,12,5,17
1772031693.2950766,8,3,11
1772031694.3211489,10,1,11
1772031695.3289006,9,1,10
1772031696.36448,8,2,10
1772031697.3927588,10,2,12
1772031698.3928845,9,3,12
1772031699.4068046,11,4,15
